Store,Monthly_Sales,Avg_Temperature,Year_Month
1,1576836.025,41.845,2010-02
1,1467823.495,52.58,2010-03
1,1484560.384,65.34,2010-04
1,1482484.6600000001,76.0525,2010-05
1,1521020.365,82.3925,2010-06
1,1448896.608,81.94800000000001,2010-07
1,1518988.2375,86.5075,2010-08
1,1457448.48,80.7375,2010-09
1,1430128.35,68.5,2010-10
1,1621386.7650000001,58.57,2010-11
1,1775390.636,49.239999999999995,2010-12
1,1370012.7425,42.885,2011-01
1,1599971.8925,49.730000000000004,2011-02
1,1576843.8699999999,61.4675,2011-03
1,1537824.72,68.66,2011-04
1,1532107.95,71.4,2011-05
1,1548742.935,84.03,2011-06
1,1445530.8620000002,86.50399999999999,2011-07
1,1536246.4325,90.0775,2011-08
1,1475908.4679999999,79.852,2011-09
1,1518081.9375,67.8325,2011-10
1,1716243.2075,59.12,2011-11
1,1806518.9420000003,47.396,2011-12
1,1430922.63,51.4775,2012-01
1,1699518.7275,51.785,2012-02
1,1640399.48,63.6,2012-03
1,1627803.705,68.3725,2012-04
1,1611740.615,74.2175,2012-05
1,1604116.568,79.774,2012-06
1,1558486.6675,80.4425,2012-07
1,1579523.918,82.832,2012-08
1,1530595.3800000001,76.22,2012-09
1,1561396.8225,67.1675,2012-10
2,2066086.9425,41.1175,2010-02
2,1919441.4,52.6275,2010-03
2,1904055.2179999999,65.768,2010-04
2,1944346.2650000001,75.1375,2010-05
2,2017410.685,84.32000000000001,2010-06
2,1863337.384,84.35999999999999,2010-07
2,1928921.6875,88.6,2010-08
2,1815549.435,81.19,2010-09
2,1802484.0219999999,66.594,2010-10
2,2117834.6525,57.832499999999996,2010-11
2,2438023.3600000003,47.92999999999999,2010-12
2,1737250.2375,40.485,2011-01
2,2002945.935,47.5175,2011-02
2,1882358.7,60.5525,2011-03
2,1827215.3380000002,66.102,2011-04
2,1790567.7725,69.9125,2011-05
2,1901901.79,84.5425,2011-06
2,1785820.35,88.526,2011-07
2,1838676.755,91.3075,2011-08
2,1713650.818,80.036,2011-09
2,1796353.03,67.9975,2011-10
2,2099349.4625,58.3075,2011-11
2,2355366.832,46.372,2011-12
2,1729230.2175,48.735,2012-01
2,2024278.445,50.16,2012-02
2,1902837.2100000002,62.084,2012-03
2,1919095.6375000002,67.35,2012-04
2,1938802.46,75.015,2012-05
2,1930402.4980000001,80.998,2012-06
2,1862293.2174999998,83.4925,2012-07
2,1912942.412,84.622,2012-08
2,1822367.4825,78.5175,2012-09
2,1895378.7325,67.2775,2012-10
3,427799.5575,48.19,2010-02
3,383670.1475,58.4,2010-03
3,379076.596,67.72999999999999,2010-04
3,369383.55,76.265,2010-05
3,368352.305,81.985,2010-06
3,356782.844,82.726,2010-07
3,364023.86,86.50999999999999,2010-08
3,359356.6125,81.065,2010-09
3,359392.712,70.796,2010-10
3,436980.9375,63.04,2010-11
3,486178.07200000004,53.489999999999995,2010-12
3,368761.345,49.39,2011-01
3,424759.0075,54.625,2011-02
3,403657.7475,67.2025,2011-03
3,376829.504,74.55799999999999,2011-04
3,383327.1325,77.38,2011-05
3,393772.66000000003,85.2575,2011-06
3,368712.39,86.376,2011-07
3,384110.64,88.36,2011-08
3,372538.512,83.44800000000001,2011-09
3,389035.4875,72.34,2011-10
3,455742.9075,63.230000000000004,2011-11
3,482761.36600000004,52.775999999999996,2011-12
3,370238.385,54.635000000000005,2012-01
3,448192.42,55.8725,2012-02
3,429617.3,64.45,2012-03
3,438365.02749999997,72.82,2012-04
3,425928.245,76.41499999999999,2012-05
3,432628.68,83.396,2012-06
3,412493.0875,82.935,2012-07
3,405601.82399999996,85.59,2012-08
3,405006.0,78.3975,2012-09
3,421076.955,72.7875,2012-10
4,2074760.09,37.6025,2010-02
4,1881337.5475,47.055,2010-03
4,1853834.1420000002,53.814,2010-04
4,1909377.43,63.5625,2010-05
4,1887574.5275,77.97749999999999,2010-06
4,1847407.496,78.604,2010-07
4,1940068.585,76.97,2010-08
4,1878080.67,69.0525,2010-09
4,1904520.804,62.965999999999994,2010-10
4,2225047.225,50.095,2010-11
4,2493334.8600000003,43.334,2010-12
4,1857153.38,37.47,2011-01
4,2175380.895,41.2675,2011-02
4,2050978.4649999999,52.1125,2011-03
4,2006911.178,62.992,2011-04
4,2017051.6400000001,69.55,2011-05
4,2072221.0175,80.9175,2011-06
4,2038605.56,83.92,2011-07
4,2121777.1100000003,83.3275,2011-08
4,2041605.9379999998,73.09400000000001,2011-09
4,2150172.0549999997,62.410000000000004,2011-10
4,2433223.7975,48.845,2011-11
4,2628969.302,35.92,2011-12
4,1980815.2375,38.8625,2012-01
4,2300584.2225,37.5775,2012-02
4,2160942.492,59.104,2012-03
4,2195977.5175,70.3625,2012-04
4,2171495.495,73.42,2012-05
4,2196894.324,80.464,2012-06
4,2137232.3075,79.3575,2012-07
4,2171569.0300000003,80.142,2012-08
4,2097504.52,72.75,2012-09
4,2147430.7025,62.07,2012-10
5,300682.0,41.837500000000006,2010-02
5,285284.67,53.83,2010-03
5,310764.55,65.26599999999999,2010-04
5,310456.2425,75.33250000000001,2010-05
5,310880.175,81.9675,2010-06
5,284435.1,82.498,2010-07
5,291311.375,87.0675,2010-08
5,301505.3275,81.1825,2010-09
5,283474.85,69.148,2010-10
